Empresa,Año,Activos_Millones,Capital_Accs_Millones,Ingresos_Millones,Ingreso_%_cambio_Año_Anterior,Utilidad_Millones,Utilidad_%_Ventas,Utilidad_%_Año_Anterior,Utilidad_%_Activos,Valor_Mercado_Millones,Cambio_%_Valor_Mercado,Empleados,Ventas_empleado,Resultados_Empleado,ROE,Rotación_Activos,Multiplicador_Capital,Industria,Vía de desarrollo
Baidu,2019,43280,23499,15429,3.71739715,-328,-2.125866874,-109.9878197,-0.757855823,43710,-21.10108303,37779,408401.4929,-8682.072051,-0.013958041,0.356492606,1.841780501,My/oS electrónicos,Asiática
Baidu,2020,50990,27999,16410,6.358156718,2916,17.76965265,-989.0243902,5.718768386,73750,68.72569206,41000,400243.9024,71121.95122,0.104146577,0.321827809,1.821136469,My/oS electrónicos,Asiática
Baidu,2021,59636,33183,19536,19.04936015,1191,6.096437346,-59.1563786,1.997115836,51770,-29.80338983,45500,429362.6374,26175.82418,0.035891872,0.327587363,1.797185306,My/oS electrónicos,Asiática
Baidu,2022,56686,32401,17931,-8.215601966,1092,6.090011712,-8.312342569,1.926401581,39520,-23.66235271,41300,434164.6489,26440.67797,0.033702663,0.31632149,1.749513904,My/oS electrónicos,Asiática
Baidu,2023,57291,34314,18958,5.727511014,3036,16.01434751,178.021978,5.299261664,41630,5.339068826,39800,476331.6583,76281.40704,0.088477006,0.330907123,1.669610072,My/oS electrónicos,Asiática
Baidu,2024,58606,36116,18238,-3.797868974,3312,18.15988595,9.090909091,5.651298502,30300,-27.21595004,35900,508022.2841,92256.26741,0.091704508,0.311196806,1.622715694,My/oS electrónicos,Asiática
BMW Group,2011,160247.8019,35103.4019,95692.3019,19.5019,6786.8019,7.092317527,59.2019,4.235191884,42880,-13.964687,100306,954003.7675,67660.97641,0.193337441,0.597152041,4.565021999,OEM,Neoliberal predominante
BMW Group,2012,173804.6,39934.8,98759.5,3.20527152,6549,6.63126079,-3.50388745,3.768024552,61550,43.54011194,105876,932784.5782,61855.37799,0.163992307,0.568221439,4.352209101,OEM,Neoliberal predominante
BMW Group,2013,190643.4,48849.9019,100971.7,2.239987039,7054.7,6.986809175,7.721789586,3.700469043,75500,22.66450041,110351,915004.8482,63929.64269,0.144415848,0.529636484,3.902636292,OEM,Neoliberal predominante
BMW Group,2014,187299.5,45033.3,106654.3,5.627913564,7691.2,7.211336064,9.022353892,4.106364406,70220,-6.993377483,116324,916872.7004,66118.77171,0.170789172,0.569431846,4.159133352,OEM,Neoliberal predominante
BMW Group,2015,187015.4,46196.1,102247.6,-4.131760276,7065,6.909697636,-8.141772415,3.777763756,68900,-1.879806323,122244,836422.2375,57794.24757,0.152934988,0.546733585,4.04829412,OEM,Neoliberal predominante
BMW Group,2016,198834.6,49681.5,104129.7,1.840727802,7589.4,7.288410511,7.422505308,3.816941317,60710,-11.88679245,124729,834847.5495,60847.11655,0.152761088,0.5237001,4.002185924,OEM,Neoliberal predominante
BMW Group,2017,220570.62,61687.68,100982.34,-3.022538238,9924.84,9.828292749,30.77239307,4.499620122,67330,10.90429913,129932,777193.7629,76384.87824,0.160888527,0.457823168,3.575602454,OEM,Neoliberal predominante
BMW Group,2018,231099.5264,65617.26,107797.7885,6.749148884,7969.826236,7.393311449,-19.69818923,3.448655374,52670,-21.77335512,134682,800387.494,59175.14023,0.121459296,0.46645612,3.52193198,OEM,Neoliberal predominante
BMW Group,2019,255945.4,66585.3,116637.8,8.200549985,5501.2,4.716481278,-30.9746557,2.149364669,52830,0.303778242,133778,871875.7942,41121.8586,0.082618836,0.455713601,3.843872446,OEM,Neoliberal predominante
BMW Group,2020,265146.1,74518.4,112794.1,-3.29541538,4301.4,3.813497337,-21.80978696,1.622275417,57390,8.631459398,120726,934298.3284,35629.44188,0.057722656,0.425403579,3.558129267,OEM,Neoliberal predominante
BMW Group,2021,260972.2,84554.1,131521.6,16.60326205,14639.6,11.13094731,240.345004,5.609639647,65110,13.45182087,118909,1106069.347,123115.9963,0.173138854,0.503967856,3.086452342,OEM,Neoliberal predominante
BMW Group,2022,263470,92962.4,149991.3,14.04309254,18869.6,12.580463,28.89423208,7.161953923,58600,-9.998464138,149475,1003454.089,126239.1704,0.20298099,0.56929176,2.834156605,OEM,Neoliberal predominante
BMW Group,2023,272706.5217,101003.2609,169019.5652,12.68624595,13222.82609,7.823251746,-29.92524438,4.848738491,73030,24.62457338,154950,1090800.679,85336.08317,0.130914843,0.619785563,2.699977401,OEM,Neoliberal predominante
BMW Group,2024,291013.0435,103264.1304,154760.8696,-8.436121365,8345.652174,5.392611322,-36.88450473,2.867793166,50530,-30.80925647,159104,972702.5692,52454.06887,0.0808185,0.531800457,2.818142585,OEM,Neoliberal predominante
Borgwarner,2011,5958.6,2453,7114.7,25.86151995,550.1,7.731879067,45.76046635,9.23203437,6990,-14.85992692,19250,369594.8052,28576.62338,0.224256013,1.194022086,2.429107216,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2012,6400.8,3146.1,7183.2,0.962795339,500.9,6.97321528,-8.943828395,7.825584302,8270,18.31187411,19100,376083.7696,26225.13089,0.159212994,1.122234721,2.034518928,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2013,6917,3632.4,7436.6,3.527675688,624.3,8.394965441,24.63565582,9.025589128,12740,54.05078597,19700,377492.3858,31690.35533,0.171869838,1.075119271,1.904250633,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2014,7228,3690.9,8305.1,11.67872415,655.8,7.896352843,5.045651129,9.073049253,12440,-2.354788069,22000,377504.5455,29809.09091,0.177680241,1.149017709,1.958329947,Autopartes electrónicas,Neoliberal predominante
Borgwarner,2015,8841.5,3631.5,8023.2,-3.394299888,609.7,7.599212284,-7.02958219,6.895888707,9480,-23.79421222,30000,267440,20323.33333,0.167892056,0.907447831,2.43466887,Autopartes electrónicas,Neoliberal predominante
